,country_ID,Year,Value
407,26,1995,17.0
408,27,1995,1.6
409,28,1995,1.9
410,46,1995,3.9
411,29,1995,4.9
412,30,1995,1.1
413,31,1995,4.6
414,32,1995,17.6
415,33,1995,3.2
416,34,1995,2.3
417,35,1995,18.5
418,36,1995,1.7
419,37,1995,13.4
420,38,1995,3.4
421,39,1995,4.2
422,40,1995,41.0
423,41,1995,12.2
424,42,1995,15.9
425,43,1995,15.3
426,44,1995,14.6
427,45,1995,19.8
428,47,1995,3.4
429,48,1995,2.4
430,49,1995,12.5
431,50,1995,8.3
432,51,1995,17.0
433,52,1995,13.4
434,53,1995,11.3
435,54,1995,19.8
436,55,1995,12.8
437,56,1995,3.4
438,57,1995,1.8
439,58,1995,16.5
440,167,1995,9.2
441,59,1995,1.5
442,61,1995,18.1
443,62,1995,14.4
444,63,1995,14.1
445,64,1995,7.5
446,65,1995,3.5
447,66,1995,12.2
448,67,1995,14.5
449,68,1995,4.2
450,69,1995,16.7
451,70,1995,11.3
452,71,1995,10.8
453,72,1995,2.9
454,73,1995,3.2
455,74,1995,10.0
456,75,1995,8.6
457,76,1995,10.4
458,77,1995,18.2
459,78,1995,14.3
460,79,1995,1.2
461,80,1995,1.8
462,81,1995,14.1
463,82,1995,20.3
464,83,1995,13.5
465,84,1995,19.5
466,85,1995,13.5
467,86,1995,13.7
468,87,1995,1.8
469,88,1995,23.3
470,89,1995,12.3
471,90,1995,2.5
472,91,1995,30.4
473,92,1995,27.4
474,93,1995,8.3
475,94,1995,1.2
476,95,1995,18.3
477,96,1995,22.3
478,97,1995,8.1
479,98,1995,5.1
480,99,1995,21.3
481,100,1995,20.5
482,101,1995,13.9
483,102,1995,1.8
484,103,1995,2.0
485,104,1995,5.1
486,105,1995,2.2
487,106,1995,2.9
488,107,1995,21.3
489,108,1995,40.5
490,109,1995,5.2
491,110,1995,5.9
492,111,1995,18.4
493,112,1995,31.6
494,114,1995,10.1
495,115,1995,13.7
496,116,1995,14.3
497,117,1995,2.8
498,118,1995,1.6
499,119,1995,7.9
500,120,1995,53.0
501,121,1995,1.1
502,122,1995,10.9
503,123,1995,18.8
504,124,1995,13.4
505,125,1995,2.0
506,126,1995,3.0
507,127,1995,33.9
508,128,1995,13.8
509,129,1995,14.9
510,130,1995,3.0
511,131,1995,42.2
512,132,1995,12.2
513,133,1995,11.4
514,134,1995,10.1
515,135,1995,11.9
516,136,1995,2.6
517,137,1995,16.2
518,138,1995,11.6
519,139,1995,23.6
520,140,1995,2.4
521,141,1995,13.2
522,173,1995,15.6
523,142,1995,14.7
524,143,1995,18.1
525,144,1995,1.6
526,145,1995,12.4
527,146,1995,11.0
528,147,1995,12.3
529,148,1995,33.3
530,150,1995,4.7
531,151,1995,22.9
532,152,1995,3.8
533,153,1995,13.9
534,154,1995,7.4
535,155,1995,3.5
536,156,1995,4.0
537,157,1995,14.2
538,158,1995,13.7
539,159,1995,11.3
540,160,1995,3.3
541,161,1995,17.1
542,163,1995,16.6
543,164,1995,1.6
544,165,1995,2.7
545,166,1995,16.8
546,168,1995,12.9
547,169,1995,12.2
548,170,1995,15.8
549,171,1995,7.0
550,172,1995,2.8
551,174,1995,1.0
552,175,1995,3.2
553,177,1995,33.6
554,178,1995,8.5
555,179,1995,15.7
556,180,1995,19.4
557,181,1995,9.4
558,182,1995,35.4
559,183,1995,1.9
560,184,1995,17.9
561,185,1995,19.8
562,186,1995,16.2
563,187,1995,2.9
564,188,1995,21.9
565,189,1995,18.5
566,190,1995,8.5
567,191,1995,13.1
568,192,1995,17.4
569,193,1995,0.5
570,194,1995,7.0
571,195,1995,3.7
572,196,1995,8.9
573,1,1996,1.8
574,2,1996,11.7
575,3,1996,15.3
576,4,1996,21.2
577,5,1996,2.9
578,6,1996,11.3
579,7,1996,19.1
580,8,1996,13.1
581,9,1996,18.1
582,10,1996,12.6
583,11,1996,11.4
584,12,1996,21.9
585,13,1996,21.3
586,14,1996,1.0
587,15,1996,13.4
588,16,1996,17.5
589,17,1996,15.8
590,18,1996,14.6
591,19,1996,4.2
592,20,1996,1.8
593,21,1996,11.6
594,22,1996,11.6
595,23,1996,11.3
596,24,1996,12.7
597,25,1996,5.9
598,26,1996,17.3
599,27,1996,1.7
600,28,1996,2.0
601,46,1996,4.1
602,29,1996,5.2
603,30,1996,1.1
604,31,1996,4.8
605,32,1996,18.2
606,33,1996,3.3
607,34,1996,2.4
608,35,1996,18.9
609,36,1996,1.8
610,37,1996,13.8
611,38,1996,3.5
612,39,1996,4.4
613,40,1996,41.8
614,41,1996,12.7
615,42,1996,16.2
616,43,1996,15.7
617,44,1996,15.0
618,45,1996,20.0
619,47,1996,3.6
620,48,1996,2.5
621,49,1996,12.8
622,50,1996,8.5
623,51,1996,17.5
624,52,1996,13.9
625,53,1996,11.7
626,54,1996,20.3
627,55,1996,13.3
628,56,1996,3.6
629,57,1996,1.9
630,58,1996,16.7
631,167,1996,9.5
632,59,1996,1.6
633,61,1996,18.7
634,62,1996,14.8
635,63,1996,14.5
636,64,1996,7.9
637,65,1996,3.8
638,66,1996,12.5
639,67,1996,14.9
640,68,1996,4.4
641,69,1996,17.1
642,70,1996,11.7
643,71,1996,11.2
644,72,1996,3.1
645,73,1996,3.4
646,74,1996,10.4
647,75,1996,9.1
648,76,1996,10.8
649,77,1996,18.5
650,78,1996,14.6
651,79,1996,1.3
652,80,1996,1.9
653,81,1996,14.6
654,82,1996,20.7
655,83,1996,13.9
656,84,1996,19.8
657,85,1996,13.8
658,86,1996,14.1
659,87,1996,1.8
660,88,1996,24.0
661,89,1996,12.6
662,90,1996,2.6
663,91,1996,31.2
664,92,1996,27.8
665,93,1996,8.6
666,94,1996,1.3
667,95,1996,18.5
668,96,1996,22.8
669,97,1996,8.4
670,98,1996,5.2
671,99,1996,21.7
672,100,1996,20.7
673,101,1996,14.3
674,102,1996,1.9
675,103,1996,2.1
676,104,1996,5.5
677,105,1996,2.4
678,106,1996,3.1
679,107,1996,21.6
680,108,1996,41.1
681,109,1996,5.5
682,110,1996,6.1
683,111,1996,18.9
684,112,1996,32.3
685,114,1996,10.4
686,115,1996,14.2
